"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,      0.4780663479,               -32,               -32,        6.21243272
          1,           0,           0,      0.4615670702,       2.608841219,       0.951214568,       6.266450685
          2,           0,           0,       0.483356876,       2.709865986,      0.9833018732,       6.281504728
          3,           0,           0,      0.4904755129,       2.733130157,      0.9140130714,       6.284796431
          4,           0,           0,      0.4922779131,       2.739366081,      0.8011410082,       6.285290515
          5,           0,           0,      0.4925413996,       2.741348651,        0.65701424,       6.285126971
          6,           0,           0,      0.4923803554,       2.742239104,      0.5252396116,       6.284807179
          7,           0,           0,      0.4921051318,       2.742850168,      0.5444914915,       6.284449749
          8,           0,           0,       0.491800273,        2.74339276,      0.6876375581,       6.284083165
          9,           0,           0,      0.4914885233,       2.743921686,      0.8290976817,       6.283714372
         10,           0,           0,      0.4911759491,       2.744451131,      0.9448047496,       6.283345086
         11,           0,           0,      0.4908641569,       2.744984704,       1.039127112,       6.282975735
         12,           0,           0,      0.4905535685,       2.745523259,       1.117758935,       6.282606425
         13,           0,           0,      0.4902442922,       2.746066934,       1.184811751,       6.282237183
         14,           0,           0,      0.4899363539,        2.74661568,       1.243092209,       6.281868015
