N,sqrt(1/N),Mesh,x1,x2,x3,x4,x5,x6,x7
1060864,0.00097089,2369x449,0.325213611E+00,  0.515293419E+00,  0.695653141E+00,  0.777511775E+00,  0.843852699E+00,  0.873396277E+00,  0.903595269E+00
265216,0.00194178,1185x225,0.323276430E+00,  0.514979541E+00,  0.695851266E+00,  0.778451860E+00,  0.845400751E+00,  0.875110745E+00,  0.905323684E+00
66304,0.00388356,593x113,0.317841530E+00,  0.513345182E+00,  0.696181834E+00,  0.779831469E+00,  0.847345352E+00,  0.877243519E+00,  0.907492638E+00
16576,0.00776712,297x57,0.300526172E+00,  0.508567333E+00,  0.697767436E+00,  0.781741738E+00,  0.848713577E+00,  0.878509224E+00,  0.908769548E+00
4144,0.0155342,149x29,0.264583528E+00,  0.529038548E+00,  0.712356150E+00,  0.784873068E+00,  0.842793524E+00,  0.869446039E+00,  0.897664249E+00






